Symbol,Open Price,Close Price,Percent Change,Volume,Turnover,Date Collected
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,23:11.7
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,23:11.7
SUNBIRD,191.06,191.06,0.0,0.0,0.0,23:11.7
TNM,28.38,28.37,0.0,20000.0,567400.0,23:11.7
AIRTEL,96.99,96.99,0.0,0.0,0.0,27:13.7
BHL,10.06,10.06,0.0,0.0,0.0,27:13.7
FDHB,67.98,67.98,0.0,0.0,0.0,27:13.7
FMBCH,296.14,300,0.0,565723.0,169716900.0,27:13.7
ICON,17.94,17.94,0.0,0.0,0.0,27:13.7
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,27:13.7
MPICO,15,15,0.0,0.0,0.0,27:13.7
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,27:13.7
NBS,107.44,107.44,0.0,122704.0,13183320.0,27:13.7
NICO,155.5,155.5,0.0,0.0,0.0,27:13.7
NITL,410,410,0.0,0.0,0.0,27:13.7
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,27:13.7
